Plot_seq;Genotype;Seed_ID;Row;Column;Treatment;Rep;Category;Trial;Year;Row_Column
1_Trial1;G01;64;1;10;Treatment1;1;Category1;Trail1;2022;1_10
1_Trial2;G02;30;40;10;Treatment1;1;Fill;Trail2.1;2022;40_10
10_Trial1;G03;82;1;1;Treatment1;1;Category2;Trail1;2022;1_1
10_Trial2;G04;34;40;1;Treatment1;3;Fill;Trail2.1;2022;40_1
100_Trial1;G05;86;13;10;Treatment1;2;Category2;Trail1;2022;13_10
101_Trial1;G06;77;14;10;Treatment1;2;Category3;Trail1;2022;14_10
102_Trial1;G07;93;14;9;Treatment1;2;Category1;Trail1;2022;14_9
103_Trial1;G04;81;14;8;Treatment1;2;Category3;Trail1;2022;14_8
104_Trial1;G03;82;14;7;Treatment1;2;Category2;Trail1;2022;14_7
105_Trial1;G08;70;14;6;Treatment1;2;Category1;Trail1;2022;14_6
106_Trial1;G09;65;14;5;Treatment1;2;Category2;Trail1;2022;14_5
107_Trial1;G10;74;14;4;Treatment1;2;Category1;Trail1;2022;14_4
108_Trial1;G11;72;14;3;Treatment1;2;Category2;Trail1;2022;14_3
109_Trial1;G38;69;14;2;Treatment1;2;Category2;Trail1;2022;14_2
11_Trial1;G39;92;2;1;Treatment1;1;Category2;Trail1;2022;2_1
11_Trial2;G07;36;40;0;Treatment1;3;Fill;Trail2.1;2022;40_0
110_Trial1;G40;75;14;1;Treatment1;2;Category3;Trail1;2022;14_1
111_Trial1;G41;85;15;1;Treatment1;2;Category2;Trail1;2022;15_1
112_Trial1;G42;73;15;2;Treatment1;2;Category3;Trail1;2022;15_2
113_Trial1;G43;89;15;3;Treatment1;2;Category1;Trail1;2022;15_3
114_Trial1;G44;90;15;4;Treatment1;2;Category1;Trail1;2022;15_4
115_Trial1;G45;78;15;5;Treatment1;2;Category3;Trail1;2022;15_5
116_Trial1;G46;83;15;6;Treatment1;2;Category2;Trail1;2022;15_6
117_Trial1;G39;92;15;7;Treatment1;2;Category2;Trail1;2022;15_7
118_Trial1;G37;88;15;8;Treatment1;2;Category2;Trail1;2022;15_8
119_Trial1;G12;79;15;9;Treatment1;2;Category3;Trail1;2022;15_9
12_Trial1;G13;87;2;2;Treatment1;1;Category3;Trail1;2022;2_2
12_Trial2;G14;33;40;-1;Treatment1;3;Fill;Trail2.1;2022;40_-1
120_Trial1;G01;64;15;10;Treatment1;2;Category1;Trail1;2022;15_10
121_Trial1;G07;93;17;10;Treatment2;2;Category1;Trail1;2022;17_10
122_Trial1;G38;69;17;9;Treatment2;2;Category2;Trail1;2022;17_9
123_Trial1;G08;70;17;8;Treatment2;2;Category1;Trail1;2022;17_8
124_Trial1;G03;82;17;7;Treatment2;2;Category2;Trail1;2022;17_7
125_Trial1;G39;92;17;6;Treatment2;2;Category2;Trail1;2022;17_6
126_Trial1;G15;91;17;5;Treatment2;2;Category2;Trail1;2022;17_5
127_Trial1;G04;81;17;4;Treatment2;2;Category3;Trail1;2022;17_4
128_Trial1;G16;71;17;3;Treatment2;2;Category1;Trail1;2022;17_3
129_Trial1;G06;77;17;2;Treatment2;2;Category3;Trail1;2022;17_2
13_Trial1;G40;75;2;3;Treatment1;1;Category3;Trail1;2022;2_3
13_Trial2;G17;39;41;-1;Treatment1;3;Fill;Trail2.1;2022;41_-1
130_Trial1;G18;67;17;1;Treatment2;2;Category3;Trail1;2022;17_1
