Plot_seq;Var;Seed_ID;Row;Range;Treatment;Row_in_Field;Rep;Category;Trial;Year;Full_rank;Experimental_Unit
1_INNOV_22;Altigo;64;1;10;Min;1;1;Control;Innovar;2022;TRUE;Innovar
1_Inv22;Dagmar;30;1;10;Treated;40;rep1;Fill;Invite6.1;2022;TRUE;Invite6.1
10_INNOV_22;Montalto;82;1;1;Min;1;1;Site specific;Innovar;2022;TRUE;Innovar
10_Inv22;Montalbano;34;1;1;Treated;40;rep3;Fill;Invite6.1;2022;TRUE;Invite6.1
100_INNOV_22;Sahara;86;10;10;Min;13;2;Site specific;Innovar;2022;TRUE;Innovar
101_INNOV_22;KWS Trinity;77;11;10;Min;14;2;Maritime North;Innovar;2022;TRUE;Innovar
102_INNOV_22;Nogal;93;11;9;Min;14;2;Control;Innovar;2022;TRUE;Innovar
103_INNOV_22;Montalbano;81;11;8;Min;14;2;Maritime North;Innovar;2022;TRUE;Innovar
104_INNOV_22;Montalto;82;11;7;Min;14;2;Site specific;Innovar;2022;TRUE;Innovar
105_INNOV_22;Cosmic;70;11;6;Min;14;2;Control;Innovar;2022;TRUE;Innovar
106_INNOV_22;Baretta;65;11;5;Min;14;2;Site specific;Innovar;2022;TRUE;Innovar
107_INNOV_22;GK Szilard;74;11;4;Min;14;2;Control;Innovar;2022;TRUE;Innovar
108_INNOV_22;Cougar;72;11;3;Min;14;2;Site specific;Innovar;2022;TRUE;Innovar
109_INNOV_22;CH-Claro;69;11;2;Min;14;2;Site specific;Innovar;2022;TRUE;Innovar
11_INNOV_22;Wiwa;92;2;1;Min;2;1;Site specific;Innovar;2022;TRUE;Innovar
11_Inv22;Nogal;36;1;0;Treated;40;rep3;Fill;Invite6.1;2022;TRUE;Invite6.1
110_INNOV_22;Grafton;75;11;1;Min;14;2;Maritime North;Innovar;2022;TRUE;Innovar
111_INNOV_22;Runal;85;12;1;Min;15;2;Site specific;Innovar;2022;TRUE;Innovar
112_INNOV_22;Evolution;73;12;2;Min;15;2;Maritime North;Innovar;2022;TRUE;Innovar
113_INNOV_22;Skagen;89;12;3;Min;15;2;Control;Innovar;2022;TRUE;Innovar
114_INNOV_22;Skyfall;90;12;4;Min;15;2;Control;Innovar;2022;TRUE;Innovar
115_INNOV_22;LG Skyscraper;78;12;5;Min;15;2;Maritime North;Innovar;2022;TRUE;Innovar
116_INNOV_22;Poncione;83;12;6;Min;15;2;Site specific;Innovar;2022;TRUE;Innovar
117_INNOV_22;Wiwa;92;12;7;Min;15;2;Site specific;Innovar;2022;TRUE;Innovar
118_INNOV_22;Simano;88;12;8;Min;15;2;Site specific;Innovar;2022;TRUE;Innovar
119_INNOV_22;LG Sundance;79;12;9;Min;15;2;Maritime North;Innovar;2022;TRUE;Innovar
12_INNOV_22;Shabras;87;2;2;Min;2;1;Maritime North;Innovar;2022;TRUE;Innovar
12_Inv22;LG Absalon;33;1;-1;Treated;40;rep3;Fill;Invite6.1;2022;FALSE;Invite6.1
120_INNOV_22;Altigo;64;12;10;Min;15;2;Control;Innovar;2022;TRUE;Innovar
121_INNOV_22;Nogal;93;13;10;Opt;17;2;Control;Innovar;2022;TRUE;Innovar
122_INNOV_22;CH-Claro;69;13;9;Opt;17;2;Site specific;Innovar;2022;TRUE;Innovar
123_INNOV_22;Cosmic;70;13;8;Opt;17;2;Control;Innovar;2022;TRUE;Innovar
124_INNOV_22;Montalto;82;13;7;Opt;17;2;Site specific;Innovar;2022;TRUE;Innovar
125_INNOV_22;Wiwa;92;13;6;Opt;17;2;Site specific;Innovar;2022;TRUE;Innovar
126_INNOV_22;Titlis;91;13;5;Opt;17;2;Site specific;Innovar;2022;TRUE;Innovar
127_INNOV_22;Montalbano;81;13;4;Opt;17;2;Maritime North;Innovar;2022;TRUE;Innovar
128_INNOV_22;Costello;71;13;3;Opt;17;2;Control;Innovar;2022;TRUE;Innovar
129_INNOV_22;KWS Trinity;77;13;2;Opt;17;2;Maritime North;Innovar;2022;TRUE;Innovar
13_INNOV_22;Grafton;75;2;3;Min;2;1;Maritime North;Innovar;2022;TRUE;Innovar
13_Inv22;Tenor;39;2;-1;Treated;41;rep3;Fill;Invite6.1;2022;FALSE;Invite6.1
130_INNOV_22;CH Nara;67;13;1;Opt;17;2;Maritime North;Innovar;2022;TRUE;Innovar
131_INNOV_22;LG Skyscraper;78;14;1;Opt;18;2;Maritime North;Innovar;2022;TRUE;Innovar
132_INNOV_22;KWS Extase;76;14;2;Opt;18;2;Maritime North;Innovar;2022;TRUE;Innovar
133_INNOV_22;Simano;88;14;3;Opt;18;2;Site specific;Innovar;2022;TRUE;Innovar
134_INNOV_22;RGT Reform;84;14;4;Opt;18;2;Maritime North;Innovar;2022;TRUE;Innovar
135_INNOV_22;Skagen;89;14;5;Opt;18;2;Control;Innovar;2022;TRUE;Innovar
136_INNOV_22;Poncione;83;14;6;Opt;18;2;Site specific;Innovar;2022;TRUE;Innovar
137_INNOV_22;Grafton;75;14;7;Opt;18;2;Maritime North;Innovar;2022;TRUE;Innovar
138_INNOV_22;LG Sundance;79;14;8;Opt;18;2;Maritime North;Innovar;2022;TRUE;Innovar
139_INNOV_22;Altigo;64;14;9;Opt;18;2;Control;Innovar;2022;TRUE;Innovar
14_INNOV_22;Montalbano;81;2;4;Min;2;1;Maritime North;Innovar;2022;TRUE;Innovar
14_Inv22;Costello;29;2;0;Treated;41;rep3;Fill;Invite6.1;2022;TRUE;Invite6.1
140_INNOV_22;Baretta;65;14;10;Opt;18;2;Site specific;Innovar;2022;TRUE;Innovar
141_INNOV_22;Evolution;73;15;10;Opt;19;2;Maritime North;Innovar;2022;TRUE;Innovar
142_INNOV_22;Molinera;80;15;9;Opt;19;2;Site specific;Innovar;2022;TRUE;Innovar
143_INNOV_22;Bologna;66;15;8;Opt;19;2;Control;Innovar;2022;TRUE;Innovar
144_INNOV_22;Runal;85;15;7;Opt;19;2;Site specific;Innovar;2022;TRUE;Innovar
145_INNOV_22;GK Szilard;74;15;6;Opt;19;2;Control;Innovar;2022;TRUE;Innovar
146_INNOV_22;Cougar;72;15;5;Opt;19;2;Site specific;Innovar;2022;TRUE;Innovar
147_INNOV_22;CH-Camedo;68;15;4;Opt;19;2;Site specific;Innovar;2022;TRUE;Innovar
148_INNOV_22;Skyfall;90;15;3;Opt;19;2;Control;Innovar;2022;TRUE;Innovar
149_INNOV_22;Sahara;86;15;2;Opt;19;2;Site specific;Innovar;2022;TRUE;Innovar
15_INNOV_22;Nogal;93;2;5;Min;2;1;Control;Innovar;2022;TRUE;Innovar
15_Inv22;Bologna;27;2;1;Treated;41;rep3;Fill;Invite6.1;2022;TRUE;Invite6.1
150_INNOV_22;Shabras;87;15;1;Opt;19;2;Maritime North;Innovar;2022;TRUE;Innovar
151_INNOV_22;Wiwa;92;16;1;Ful;21;2;Site specific;Innovar;2022;TRUE;Innovar
152_INNOV_22;KWS Trinity;77;16;2;Ful;21;2;Maritime North;Innovar;2022;TRUE;Innovar
153_INNOV_22;Costello;71;16;3;Ful;21;2;Control;Innovar;2022;TRUE;Innovar
154_INNOV_22;CH-Camedo;68;16;4;Ful;21;2;Site specific;Innovar;2022;TRUE;Innovar
155_INNOV_22;GK Szilard;74;16;5;Ful;21;2;Control;Innovar;2022;TRUE;Innovar
156_INNOV_22;KWS Extase;76;16;6;Ful;21;2;Maritime North;Innovar;2022;TRUE;Innovar
157_INNOV_22;Simano;88;16;7;Ful;21;2;Site specific;Innovar;2022;TRUE;Innovar
158_INNOV_22;CH-Claro;69;16;8;Ful;21;2;Site specific;Innovar;2022;TRUE;Innovar
159_INNOV_22;LG Sundance;79;16;9;Ful;21;2;Maritime North;Innovar;2022;TRUE;Innovar
16_INNOV_22;Baretta;65;2;6;Min;2;1;Site specific;Innovar;2022;TRUE;Innovar
16_Inv22;RGT Reform ;37;2;2;Treated;41;rep3;Fill;Invite6.1;2022;TRUE;Invite6.1
160_INNOV_22;Montalbano;81;16;10;Ful;21;2;Maritime North;Innovar;2022;TRUE;Innovar
161_INNOV_22;Cougar;72;17;10;Ful;22;2;Site specific;Innovar;2022;TRUE;Innovar
162_INNOV_22;Skyfall;90;17;9;Ful;22;2;Control;Innovar;2022;TRUE;Innovar
163_INNOV_22;Grafton;75;17;8;Ful;22;2;Maritime North;Innovar;2022;TRUE;Innovar
164_INNOV_22;Altigo;64;17;7;Ful;22;2;Control;Innovar;2022;TRUE;Innovar
165_INNOV_22;LG Skyscraper;78;17;6;Ful;22;2;Maritime North;Innovar;2022;TRUE;Innovar
166_INNOV_22;Shabras;87;17;5;Ful;22;2;Maritime North;Innovar;2022;TRUE;Innovar
167_INNOV_22;Montalto;82;17;4;Ful;22;2;Site specific;Innovar;2022;TRUE;Innovar
168_INNOV_22;Sahara;86;17;3;Ful;22;2;Site specific;Innovar;2022;TRUE;Innovar
169_INNOV_22;Bologna;66;17;2;Ful;22;2;Control;Innovar;2022;TRUE;Innovar
17_INNOV_22;KWS Extase;76;2;7;Min;2;1;Maritime North;Innovar;2022;TRUE;Innovar
17_Inv22;GK Szil˜rd;31;2;3;Treated;41;rep2;Fill;Invite6.1;2022;TRUE;Invite6.1
170_INNOV_22;CH Nara;67;17;1;Ful;22;2;Maritime North;Innovar;2022;TRUE;Innovar
171_INNOV_22;Cosmic;70;18;1;Ful;23;2;Control;Innovar;2022;TRUE;Innovar
172_INNOV_22;Evolution;73;18;2;Ful;23;2;Maritime North;Innovar;2022;TRUE;Innovar
173_INNOV_22;Molinera;80;18;3;Ful;23;2;Site specific;Innovar;2022;TRUE;Innovar
174_INNOV_22;Nogal;93;18;4;Ful;23;2;Control;Innovar;2022;TRUE;Innovar
175_INNOV_22;Runal;85;18;5;Ful;23;2;Site specific;Innovar;2022;TRUE;Innovar
176_INNOV_22;RGT Reform;84;18;6;Ful;23;2;Maritime North;Innovar;2022;TRUE;Innovar
177_INNOV_22;Poncione;83;18;7;Ful;23;2;Site specific;Innovar;2022;TRUE;Innovar
178_INNOV_22;Baretta;65;18;8;Ful;23;2;Site specific;Innovar;2022;TRUE;Innovar
179_INNOV_22;Skagen;89;18;9;Ful;23;2;Control;Innovar;2022;TRUE;Innovar
18_INNOV_22;Poncione;83;2;8;Min;2;1;Site specific;Innovar;2022;TRUE;Innovar
18_Inv22;Dagmar;30;2;4;Treated;41;rep2;Fill;Invite6.1;2022;TRUE;Invite6.1
180_INNOV_22;Titlis;91;18;10;Ful;23;2;Site specific;Innovar;2022;TRUE;Innovar
181_INNOV_22;Costello;71;19;10;Opt;25;3;Control;Innovar;2022;TRUE;Innovar
182_INNOV_22;Montalbano;81;19;9;Opt;25;3;Maritime North;Innovar;2022;TRUE;Innovar
183_INNOV_22;GK Szilard;74;19;8;Opt;25;3;Control;Innovar;2022;TRUE;Innovar
184_INNOV_22;CH Nara;67;19;7;Opt;25;3;Maritime North;Innovar;2022;TRUE;Innovar
185_INNOV_22;Shabras;87;19;6;Opt;25;3;Maritime North;Innovar;2022;TRUE;Innovar
186_INNOV_22;Altigo;64;19;5;Opt;25;3;Control;Innovar;2022;TRUE;Innovar
